自然冷却风冷螺杆式冷水机组,,,,,,,,,,
一、系统件,,,,,,,机组型号,,,
序号,名称,规格型号,数量,品牌,品牌地,,TAMFV430.3ALF5,,,
1,压缩机,TT450-E-1-ST-SL,3,丹佛斯,丹麦,,,,,
2,冷凝器,V型换热器（自制）,11,天加,中国,,,,,
3,水侧换热器,满液式换热器（自制）,1,天加,中国,,,,,
4,安全阀,11EE11MN-TF 3/4' PK:2.1MPa,6,凯特,中国,,,,,
6,液位计,UYB-D53FrUBRD3/ L273C,2,德阳新泰,中国,,,,,
8,靶式流量开关,HF68A NPT1',1,海升,中国,,,,,
12,电子膨胀阀,ETS250L(1-5/8*1-5/8),3,丹佛斯,丹麦,,,,,
13,液管过滤器/滤芯,(SF413/17B（2-1/8')+4490/A*3),3,卡士妥,意大利,,,,,
14,风机,ZN091-ZIQ.GL.V5P1,22,施乐百,德国,,,,,
15,排气截止止回阀 ,"DN100,J44Y-32-00",3,文森特,中国,,,,,
16,吸气电动球阀,DN125(PN25),3,Bray,美国,,,,,
17,切入阀,PTS27L(2-1/8'*2-1/8'),3,丹佛斯,丹麦,,,,,
二、电气件,,,,,,,,,,
1,触摸屏,HMIGXO3512,1,施耐德,法国,,,,,
2,主控板,TC180A,2,华联,中国,,,,,
3,扩展板,TC282,2,天加,中国,,,,,
4,压缩机变频器,AS系列,2,新时达,中国,,,,,
5,电子膨胀阀控制模块, VSD1001,2,三花,中国,,,,,
6,开关电源,RS-75-24,2,明纬,中国,,,,,
7,双极开关,iC65N 2P C20A,2,施耐德,法国,,,,,
8,电源指示灯,XB2BVM系列,3,施耐德,,,,,,
9,急停按钮,ZB2BS54C+ZB2BZ104C 红色(自带2NC),1,施耐德,,,,,,
10,中间继电器,RXM4LB2P7,2,施耐德,,,,,,
11,熔断器,RT28-32 6A 底座 RT28N-32 1P,2,CHNT(正泰),中国,,,,,
12,熔断器,RT28-32 10A 底座 RT28N-32 1P,2,CHNT(正泰),中国,,,,,
13,温度传感器,B3950R2520K紫铜壳φ6*30mm-L10米 ,3,华工新高理,中国,,,,,
14,温度传感器,B3950R2550K紫铜壳φ6*30mm-L10米 XHP-2(红),2,华工新高理,中国,,,,,
16,温度传感器,902150/10-378-1001-1-6-50-999-12000/000-12米（使用叉型预绝缘端子）,3,久茂,中国,,,,, 
17,高压压力传感器,AKS 3000(0~30bar）,2,丹佛斯,丹麦,,,,,
18,低压压力传感器,AKS 3000(-1~12bar),2,丹佛斯,,,,,,
备注：以上部件清单随着产品的改进，厂家保留以同等规格品质部件替代的权利，恕不另行通知。,,,,,,,,,,
,,,,,,,,,,
三、自然冷源部分,,,,,,,,,,
1,三通阀,70E201-113DB536/K-DN200,1,Bray,三通阀方案,,,,,
,,,,,,,,,,
