风冷磁悬浮变频离心式冷水机组,,,,,,,,,,,,
型号TAMFV-ALF5,,,430.3,,,,,,,,,
制冷参数,制冷量,kW,1700,,,,,,,,,
,输入功率,kW,261.6,,,,,,,,,
,EER,kW/kW,6.50 ,,水泵选型参数,,,,,,,
,100%自然冷环温,℃,5.30 ,,品牌,流量,扬程,电制,介质进出温度,介质,最低环温,其他要求
,自然冷盘管压降,kPa,58.00 ,,威乐,194.59,33.24,400V 3N～50Hz,32/22,55%EG,-45,卧式，变频
,额定电流,A,428,,,,,,,,,
电器参数,最大运行电流,A,744,,,,,,,,,
,最大启动电流,A,20,,,,,,,,,
,电   制,,400V 3N～50Hz,,,,,,,,,
制冷剂,类    型,,R513A,,,,,,,,,
,工质系统数量,,3,,,,,,,,,
压缩机,类    型,,无油磁悬浮离心式压缩机,,,,,,,,,
,启动类型,,变频启动,,,,,,,,,
风机,类型,/,EC轴流风机,,,,,,,,,
,风    量,m3/h,495000,,,,,,,,,
,数    量,台,22,,,,,,,,,
,风机输入功率,kW,59.4,,,,,,,,,
水侧换热器,类    型,/,高效满液壳管式,,,,,,,,,
,进出水管径,DN,200,,,,,,,,,
,水侧承压,MPa,1.0 ,,,,,,,,,
,水 流 量,m3/h,176.9 ,,,,,,,,,
,水 压 降,kPa,76,,,,,,,,,
外形尺寸,长,mm,13125,,,,,,,,,
,宽,mm,2270,,,,,,,,,
,高,mm,2560,,,,,,,,,
机组重量,运输重量,kg,13028,,,,,,,,,
,运行重量,kg,14912,,,,,,,,,
备注：,,,,,,,,,,,,
1.工况：冷冻水进出水温度32℃/22℃，环境干球温度25℃；载冷剂为55%EG；,,,,,,,,,,,,
2.允许电压波动范围±10%；,,,,,,,,,,,,
3.由于产品的不断改良，上述参数可能会有所更改，请以产品铭牌参数和实物为准。,,,,,,,,,,,,
,,,,,,,,,,,,
